Country,Category,ForeignInvestment,Date,FinancialYear
Brazil,Service,10,2011,2010-2011
France,Service,5,2011,2010-2011
India,Service,30,2011,2010-2011
Kazakhstan,Service,2,2011,2010-2011
USA,Service,12.5,2011,2010-2011
China,Service,49,2011,2010-2011
China,Service,10,2011,2010-2011
China,Service,2.5,2011,2010-2011
S. Korea,Service,4.8,2011,2010-2011
China,Service,10,2011,2010-2011
Bangladesh,Service,2.4,2011,2010-2011
S. Korea,Service,3,2011,2010-2011
India,Service,23,2011,2010-2011
China,Service,8,2011,2010-2011
Netherlands,Service,44.5,2011,2010-2011
China,Service,9.6,2011,2010-2011
Switzerland,Service,10,2011,2010-2011
China,Service,9.9,2011,2010-2011
Belgium,Service,2.5,2011,2010-2011
China,Service,10,2011,2010-2011
Japan,Service,15,2011,2010-2011
UK,Service,10,2011,2010-2011
Canada,Service,10,2011,2010-2011
USA,Service,2,2011,2010-2011
S. Korea,Service,3.2,2011,2010-2011
India,Service,2.5,2011,2010-2011
India,Service,5,2011,2010-2011
India,Service,5,2011,2010-2011
Russia,Service,45,2011,2010-2011
India,Service,48,2011,2010-2011
China,Service,10,2011,2010-2011
India,Service,10,2011,2010-2011
USA,Service,10,2011,2010-2011
S. Korea,Service,3.4,2011,2010-2011
China,Service,5,2011,2010-2011
India,Service,10,2011,2010-2011
Japan,Service,3.2,2011,2010-2011
Turkey,Service,2.5,2011,2010-2011
China,Service,10,2011,2010-2011
China,Service,5.1,2011,2010-2011
China,Service,9.8,2011,2010-2011
India,Service,20,2011,2010-2011
USA,Service,2,2011,2010-2011
Syria,Service,2.5,2011,2010-2011
S. Korea,Service,2.5,2011,2010-2011
Sri Lanka,Service,10,2011,2010-2011
India,Service,4,2011,2010-2011
Singapore,Service,44,2011,2010-2011
Canada,Service,6,2011,2010-2011
Japan,Service,4,2011,2010-2011
China,Service,46,2011,2010-2011
Australia,Service,10,2011,2010-2011
Australia,Service,2.4,2011,2010-2011
India,Service,6,2011,2010-2011
China,Service,30,2011,2010-2011
India,Service,4.6,2011,2010-2011
S. Korea,Service,8,2011,2010-2011
S. Korea,Service,8,2011,2010-2011
S. Korea,Service,2.1,2011,2010-2011
China,Service,10,2011,2010-2011
Ireland,Service,9,2011,2010-2011
UK,Service,1.8,2011,2010-2011
Belgium,Service,16,2011,2010-2011
China,Service,38,2011,2010-2011
Japan,Service,2.9,2011,2010-2011
China,Service,4,2011,2010-2011
China,Service,10,2011,2010-2011
France,Service,10,2011,2010-2011
Australia,Service,6,2011,2010-2011
UK,Service,4,2011,2010-2011
Malaysia,Service,2.1,2011,2010-2011
China,Service,10,2011,2010-2011
Australia,Service,10,2011,2010-2011
USA,Service,49,2011,2010-2011
China,Service,3.7,2011,2010-2011
UK,Service,10,2011,2010-2011
China,Tourism,10,2011,2010-2011
China,Tourism,7.5,2011,2010-2011
China,Tourism,9,2011,2010-2011
China,Tourism,8,2011,2010-2011
Germany,Tourism,10,2011,2010-2011
China,Tourism,10,2011,2010-2011
Singapore,Tourism,500,2011,2010-2011
China,Tourism,9.6,2011,2010-2011
Sweden,Tourism,2.4,2011,2010-2011
France,Tourism,5,2011,2010-2011
India,Tourism,2.5,2011,2010-2011
India,Tourism,2,2011,2010-2011
S. Korea,Tourism,4,2011,2010-2011
China,Tourism,10,2011,2010-2011
S. Korea,Tourism,6,2011,2010-2011
China,Tourism,8,2011,2010-2011
UK,Tourism,10,2011,2010-2011
China,Tourism,2.5,2011,2010-2011
France,Tourism,10,2011,2010-2011
Poland,Tourism,8.5,2011,2010-2011
Thailand,Tourism,6,2011,2010-2011
France,Tourism,6,2011,2010-2011
Turkey,Tourism,5,2011,2010-2011
India,Tourism,1.6,2011,2010-2011
Israel,Tourism,6.8,2011,2010-2011
India,Tourism,85,2011,2010-2011
Germany,Tourism,8,2011,2010-2011
India,Tourism,120,2011,2010-2011
Poland,Tourism,30,2011,2010-2011
Denmark,Tourism,10,2011,2010-2011
Italy,Tourism,2.5,2011,2010-2011
Japan,Tourism,3.8,2011,2010-2011
Malaysia,Tourism,150,2011,2010-2011
China,Tourism,11.9,2011,2010-2011
Brazil,Tourism,10,2011,2010-2011
Israel,Tourism,10,2011,2010-2011
USA,Tourism,10,2011,2010-2011
S. Korea,Tourism,2.5,2011,2010-2011
China,Tourism,10.5,2011,2010-2011
China,Tourism,9.6,2011,2010-2011
Canada,Tourism,7.5,2011,2010-2011
Germany,Tourism,12,2011,2010-2011
China,Tourism,20,2011,2010-2011
China,Tourism,10,2011,2010-2011
S. Korea,Tourism,2.5,2011,2010-2011
S. Korea,Tourism,5.1,2011,2010-2011
China,Tourism,14,2011,2010-2011
China,Agriculture and Forestry,9.6,2012,2011-2012
S. Korea,Agriculture and Forestry,5,2012,2011-2012
China,Agriculture and Forestry,9.6,2012,2011-2012
China,Agriculture and Forestry,8,2012,2011-2012
China,Agriculture and Forestry,20,2012,2011-2012
China,Agriculture and Forestry,15,2012,2011-2012
China,Agriculture and Forestry,15,2012,2011-2012
China,Agriculture and Forestry,6,2012,2011-2012
China,Agriculture and Forestry,15,2012,2011-2012
Iran,Agriculture and Forestry,13,2012,2011-2012
BritishVirginIsland,Agriculture and Forestry,5,2012,2011-2012
USA,Agriculture and Forestry,10,2012,2011-2012
China,Agriculture and Forestry,15,2012,2011-2012
S. Korea,Agriculture and Forestry,8,2012,2011-2012
China,Agriculture and Forestry,20,2012,2011-2012
India,Energy,900,2012,2011-2012
China,Energy,9.5,2012,2011-2012
Korea,Energy,2000,2012,2011-2012
Singapore,Energy,2100,2012,2011-2012
India,Manufacturing,10,2012,2011-2012
India,Manufacturing,30.2,2012,2011-2012
Malaysia,Manufacturing,10,2012,2011-2012
China,Manufacturing,10,2012,2011-2012
Japan,Manufacturing,1.9,2012,2011-2012
USA,Manufacturing,4.8,2012,2011-2012
USA,Manufacturing,3.3,2012,2011-2012
Singapore,Manufacturing,1000,2012,2011-2012
S. Korea,Manufacturing,10,2012,2011-2012
China,Manufacturing,10,2012,2011-2012
India,Manufacturing,1.6,2012,2011-2012
China,Manufacturing,49,2012,2011-2012
Italy,Manufacturing,3.5,2012,2011-2012
Italy,Manufacturing,3.5,2012,2011-2012
China,Manufacturing,20,2012,2011-2012
India,Manufacturing,800,2012,2011-2012
India,Manufacturing,48.2,2012,2011-2012
S. Korea,Manufacturing,5,2012,2011-2012
France,Manufacturing,3.5,2012,2011-2012
China,Manufacturing,8,2012,2011-2012
BritishVirginIsland,Manufacturing,45,2012,2011-2012
China,Manufacturing,10,2012,2011-2012
India,Manufacturing,970,2012,2011-2012
UAE,Manufacturing,340,2012,2011-2012
India,Manufacturing,15,2012,2011-2012
China,Manufacturing,10,2012,2011-2012
Belgium,Manufacturing,12.6,2012,2011-2012
China,Manufacturing,9,2012,2011-2012
China,Manufacturing,11.4,2012,2011-2012
USA,Manufacturing,75,2012,2011-2012
UK,Manufacturing,7,2012,2011-2012
China,Mines and Minerals,9.5,2012,2011-2012
Japan,Mines and Minerals,17.2,2012,2011-2012
China,Mines and Minerals,10,2012,2011-2012
China,Mines and Minerals,15,2012,2011-2012
China,Mines and Minerals,40,2012,2011-2012
China,Mines and Minerals,40,2012,2011-2012
China,Mines and Minerals,40,2012,2011-2012
Malaysia,Service,10,2012,2011-2012
China,Service,10,2012,2011-2012
China,Service,10,2012,2011-2012
Japan,Service,1.9,2012,2011-2012
India,Service,86.9,2012,2011-2012
China,Service,8,2012,2011-2012
France,Service,6.8,2012,2011-2012
India,Service,10,2012,2011-2012
Turkey,Service,500,2012,2011-2012
USA,Service,2,2012,2011-2012
China,Service,10,2012,2011-2012
UK,Service,10,2012,2011-2012
USA,Service,4.6,2012,2011-2012
USA,Service,4.7,2012,2011-2012
Denmark,Service,4.8,2012,2011-2012
India,Service,10,2012,2011-2012
Netherlands,Service,2.5,2012,2011-2012
India,Service,500,2012,2011-2012
China,Service,10,2012,2011-2012
China,Service,10,2012,2011-2012
China,Service,38,2012,2011-2012
Japan,Service,4,2012,2011-2012
Japan,Service,8,2012,2011-2012
Switzerland,Service,6.8,2012,2011-2012
China,Service,7.5,2012,2011-2012
India,Service,43.2,2012,2011-2012
Bangladesh,Service,5,2012,2011-2012
China,Service,10,2012,2011-2012
S. Korea,Service,5,2012,2011-2012
India,Service,2.5,2012,2011-2012
USA,Service,2.5,2012,2011-2012
China,Service,10,2012,2011-2012
India,Service,5,2012,2011-2012
Bangladesh,Service,5,2012,2011-2012
Bangladesh,Service,8,2012,2011-2012
Bahrain,Service,70,2012,2011-2012
Cyprus,Service,10,2012,2011-2012
Turkey,Service,44.5,2012,2011-2012
China,Service,4,2012,2011-2012
UK,Service,3.6,2012,2011-2012
China,Service,20,2012,2011-2012
Japan,Service,3.2,2012,2011-2012
China,Service,40,2012,2011-2012
China,Service,6,2012,2011-2012
China,Service,10,2012,2011-2012
China,Service,6,2012,2011-2012
Switzerland,Service,3.2,2012,2011-2012
S. Korea,Service,2.5,2012,2011-2012
Russia,Service,8.9,2012,2011-2012
China,Service,45,2012,2011-2012
India,Service,48,2012,2011-2012
S. Korea,Service,4.8,2012,2011-2012
India,Service,2.5,2012,2011-2012
India,Service,48,2012,2011-2012
S. Korea,Service,8,2012,2011-2012
India,Service,9,2012,2011-2012
Azerbaijan,Service,16,2012,2011-2012
Sri Lanka,Service,4,2012,2011-2012
France,Service,9,2012,2011-2012
USA,Service,2.5,2012,2011-2012
China,Service,6,2012,2011-2012
USA,Service,2,2012,2011-2012
China,Service,4,2012,2011-2012
S. Korea,Service,2.5,2012,2011-2012
Australia,Service,4,2012,2011-2012
Eritrea,Service,2.5,2012,2011-2012
Pakistan,Service,2.5,2012,2011-2012
China,Service,6.8,2012,2011-2012
USA,Service,3.4,2012,2011-2012
Australia,Service,5,2012,2011-2012
S. Korea,Service,2.5,2012,2011-2012
China,Service,10,2012,2011-2012
China,Service,10,2012,2011-2012
China,Service,10,2012,2011-2012
UK,Service,2.5,2012,2011-2012
China,Service,12.5,2012,2011-2012
China,Service,12.6,2012,2011-2012
China,Service,10,2012,2011-2012
China,Service,10,2012,2011-2012
UK,Service,9,2012,2011-2012
India,Service,10,2012,2011-2012
Netherlands,Service,2,2012,2011-2012
China,Service,10,2012,2011-2012
China,Service,5,2012,2011-2012
Netherlands,Service,10,2012,2011-2012
S. Korea,Service,7.4,2012,2011-2012
S. Korea,Service,2,2012,2011-2012
India,Service,12,2012,2011-2012
USA,Service,2,2012,2011-2012
Australia,Service,5,2012,2011-2012
S. Korea,Service,8,2012,2011-2012
USA,Service,9,2012,2011-2012
Switzerland,Service,12.6,2012,2011-2012
China,Service,9,2012,2011-2012
Bangladesh,Service,12,2012,2011-2012
China,Service,12,2012,2011-2012
Bangladesh,Service,12,2012,2011-2012
USA,Service,2.5,2012,2011-2012
USA,Service,2.5,2012,2011-2012
USA,Service,2,2012,2011-2012
USA,Service,3,2012,2011-2012
Japan,Service,7,2012,2011-2012
Syria,Service,10,2012,2011-2012
USA,Service,9,2012,2011-2012
China,Service,7.6,2012,2011-2012
S. Korea,Service,2,2012,2011-2012
S. Korea,Tourism,6.4,2012,2011-2012
USA,Tourism,30,2012,2011-2012
UK,Tourism,10,2012,2011-2012
Malaysia,Tourism,50,2012,2011-2012
Japan,Tourism,1.9,2012,2011-2012
Egypt,Tourism,2.1,2012,2011-2012
India,Tourism,85.7,2012,2011-2012
Malaysia,Tourism,2.5,2012,2011-2012
Ukraine,Tourism,10,2012,2011-2012
Germany,Tourism,2.5,2012,2011-2012
S. Korea,Tourism,5,2012,2011-2012
China,Tourism,10,2012,2011-2012
France,Tourism,6.4,2012,2011-2012
China,Tourism,20,2012,2011-2012
Iran,Tourism,2.5,2012,2011-2012
Pakistan,Tourism,4.8,2012,2011-2012
France,Tourism,3,2012,2011-2012
Italy,Tourism,3.1,2012,2011-2012
China,Tourism,4,2012,2011-2012
China,Tourism,6.8,2012,2011-2012
China,Tourism,25,2012,2011-2012
China,Tourism,14,2012,2011-2012
S. Korea,Tourism,2.5,2012,2011-2012
S. Korea,Tourism,5,2012,2011-2012
USA,Tourism,10,2012,2011-2012
S. Korea,Tourism,9,2012,2011-2012
China,Tourism,8,2012,2011-2012
S. Korea,Tourism,4,2012,2011-2012
China,Tourism,5,2012,2011-2012
Japan,Tourism,2.5,2012,2011-2012
Japan,Tourism,12,2012,2011-2012
Japan,Tourism,2.5,2012,2011-2012
Israel,Tourism,4,2012,2011-2012
China,Tourism,15,2012,2011-2012
China,Tourism,12.6,2012,2011-2012
China,Tourism,14,2012,2011-2012
India,Tourism,140,2012,2011-2012
USA,Tourism,9,2012,2011-2012
India,Tourism,100,2012,2011-2012
China,Tourism,4.4,2012,2011-2012
USA,Tourism,12.6,2012,2011-2012
Russia,Tourism,30,2012,2011-2012
Japan,Tourism,1.8,2012,2011-2012
Mexico,Tourism,10.8,2012,2011-2012
China,Tourism,8,2012,2011-2012
China,Tourism,7.5,2012,2011-2012
USA,Tourism,9,2012,2011-2012
Japan,Tourism,2.5,2012,2011-2012
France,Tourism,5,2012,2011-2012
China,Tourism,10,2012,2011-2012
USA,Tourism,12,2012,2011-2012
China,Tourism,2.5,2012,2011-2012
UK,Tourism,5.6,2012,2011-2012
Switzerland,Tourism,2.5,2012,2011-2012
China,Tourism,2.5,2012,2011-2012
Italy,Tourism,2.4,2012,2011-2012
China,Tourism,13.2,2012,2011-2012
France,Tourism,10,2012,2011-2012
France,Tourism,8,2012,2011-2012
China,Tourism,2.4,2012,2011-2012
Switzerland,Tourism,20,2012,2011-2012
S. Korea,Tourism,3,2012,2011-2012
Italy,Tourism,48.1,2012,2011-2012
Singapore,Tourism,10,2012,2011-2012
UK,Agriculture and Forestry,3.2,2013,2012-2013
China,Agriculture and Forestry,11.4,2013,2012-2013
USA,Agriculture and Forestry,9.5,2013,2012-2013
S. Korea,Agriculture and Forestry,9.5,2013,2012-2013
Canada,Agriculture and Forestry,4,2013,2012-2013
China,Agriculture and Forestry,13.5,2013,2012-2013
Argentina,Agriculture and Forestry,8,2013,2012-2013
China,Agriculture and Forestry,10,2013,2012-2013
S. Korea,Agriculture and Forestry,4,2013,2012-2013
Germany,Agriculture and Forestry,15,2013,2012-2013
USA,Agriculture and Forestry,9.5,2013,2012-2013
China,Agriculture and Forestry,30,2013,2012-2013
China,Agriculture and Forestry,30,2013,2012-2013
Canada,Agriculture and Forestry,20,2013,2012-2013
Malaysia,Agriculture and Forestry,10,2013,2012-2013
China,Agriculture and Forestry,25,2013,2012-2013
Japan,Agriculture and Forestry,15,2013,2012-2013
China,Agriculture and Forestry,35,2013,2012-2013
Italy,Agriculture and Forestry,10,2013,2012-2013
China,Agriculture and Forestry,15,2013,2012-2013
China,Agriculture and Forestry,40,2013,2012-2013
China,Agriculture and Forestry,30,2013,2012-2013
China,Agriculture and Forestry,15,2013,2012-2013
Denmark,Agriculture and Forestry,10,2013,2012-2013
USA,Agriculture and Forestry,25,2013,2012-2013
China,Agriculture and Forestry,30,2013,2012-2013
China,Agriculture and Forestry,30,2013,2012-2013
China,Agriculture and Forestry,30,2013,2012-2013
UAE,Agriculture and Forestry,300,2013,2012-2013
India,Agriculture and Forestry,5.5,2013,2012-2013
China,Agriculture and Forestry,30,2013,2012-2013
Slovenia,Agriculture and Forestry,30,2013,2012-2013
Turkey,Agriculture and Forestry,30,2013,2012-2013
S. Korea,Agriculture and Forestry,15,2013,2012-2013
Denmark,Agriculture and Forestry,30,2013,2012-2013
China,Agriculture and Forestry,35,2013,2012-2013
Ukraine,Agriculture and Forestry,30,2013,2012-2013
Italy,Agriculture and Forestry,25,2013,2012-2013
Switzerland,Agriculture and Forestry,20,2013,2012-2013
China,Agriculture and Forestry,30,2013,2012-2013
China,Agriculture and Forestry,30,2013,2012-2013
China,Agriculture and Forestry,30,2013,2012-2013
UAE,Agriculture and Forestry,300,2013,2012-2013
China,Construction,100,2013,2012-2013
Spain,Energy,1980,2013,2012-2013
China,Energy,2300,2013,2012-2013
China,Energy,180,2013,2012-2013
India,Energy,100,2013,2012-2013
China,Energy,3082.2,2013,2012-2013
Canada,Energy,1976,2013,2012-2013
India,Manufacturing,49.4,2013,2012-2013
India,Manufacturing,45,2013,2012-2013
India,Manufacturing,12.4,2013,2012-2013
India,Manufacturing,2.5,2013,2012-2013
S. Korea,Manufacturing,45,2013,2012-2013
China,Manufacturing,36,2013,2012-2013
Japan,Manufacturing,10,2013,2012-2013
India,Manufacturing,49,2013,2012-2013
China,Manufacturing,20,2013,2012-2013
India,Manufacturing,245,2013,2012-2013
Switzerland,Manufacturing,30,2013,2012-2013
China,Manufacturing,10,2013,2012-2013
India,Manufacturing,10,2013,2012-2013
Netherlands,Manufacturing,7,2013,2012-2013
China,Manufacturing,42.9,2013,2012-2013
India,Manufacturing,10,2013,2012-2013
Netherlands,Manufacturing,9.6,2013,2012-2013
India,Manufacturing,410,2013,2012-2013
Japan,Manufacturing,300,2013,2012-2013
UK,Manufacturing,10,2013,2012-2013
China,Manufacturing,15,2013,2012-2013
Netherlands,Manufacturing,40,2013,2012-2013
China,Manufacturing,10,2013,2012-2013
China,Manufacturing,30,2013,2012-2013
Switzerland,Manufacturing,7.5,2013,2012-2013
USA,Manufacturing,10,2013,2012-2013
China,Manufacturing,12.5,2013,2012-2013
China,Manufacturing,30,2013,2012-2013
India,Manufacturing,533.8,2013,2012-2013
China,Manufacturing,10,2013,2012-2013
India,Manufacturing,29.7,2013,2012-2013
China,Manufacturing,60,2013,2012-2013
Netherlands,Manufacturing,10,2013,2012-2013
China,Manufacturing,4000,2013,2012-2013
India,Manufacturing,180,2013,2012-2013
India,Manufacturing,150,2013,2012-2013
China,Manufacturing,46,2013,2012-2013
China,Manufacturing,25,2013,2012-2013
China,Manufacturing,25,2013,2012-2013
China,Manufacturing,17,2013,2012-2013
China,Manufacturing,17,2013,2012-2013
China,Manufacturing,17,2013,2012-2013
India,Manufacturing,30,2013,2012-2013
USA,Manufacturing,5,2013,2012-2013
India,Manufacturing,20,2013,2012-2013
China,Manufacturing,150,2013,2012-2013
China,Manufacturing,10,2013,2012-2013
China,Manufacturing,20,2013,2012-2013
China,Manufacturing,10,2013,2012-2013
India,Manufacturing,2230,2013,2012-2013
India,Manufacturing,15,2013,2012-2013
Canada,Manufacturing,8,2013,2012-2013
Seychelles,Manufacturing,7600,2013,2012-2013
China,Manufacturing,10,2013,2012-2013
Singapore,Manufacturing,30,2013,2012-2013
India,Manufacturing,20,2013,2012-2013
India,Manufacturing,833.3,2013,2012-2013
Japan,Manufacturing,0.8,2013,2012-2013
Japan,Manufacturing,0.8,2013,2012-2013
China,Manufacturing,35,2013,2012-2013
Russia,Manufacturing,12.2,2013,2012-2013
S. Korea,Manufacturing,10,2013,2012-2013
S. Korea,Manufacturing,8.6,2013,2012-2013
China,Manufacturing,10.1,2013,2012-2013
UK,Manufacturing,16.1,2013,2012-2013
China,Manufacturing,40,2013,2012-2013
China,Manufacturing,30,2013,2012-2013
Japan,Manufacturing,35,2013,2012-2013
BritishVirginIsland,Manufacturing,4500,2013,2012-2013
China,Manufacturing,45,2013,2012-2013
S. Korea,Manufacturing,25,2013,2012-2013
Sweden,Manufacturing,10,2013,2012-2013
China,Manufacturing,30,2013,2012-2013
Netherlands,Manufacturing,20.4,2013,2012-2013
China,Manufacturing,25,2013,2012-2013
UK,Manufacturing,6,2013,2012-2013
Australia,Manufacturing,10,2013,2012-2013
Denmark,Manufacturing,13.5,2013,2012-2013
Denmark,Manufacturing,18,2013,2012-2013
Denmark,Manufacturing,16,2013,2012-2013
Denmark,Manufacturing,22.2,2013,2012-2013
Denmark,Manufacturing,38,2013,2012-2013
India,Manufacturing,460,2013,2012-2013
USA,Manufacturing,310,2013,2012-2013
China,Mines and Minerals,49,2013,2012-2013
S. Korea,Mines and Minerals,20,2013,2012-2013
India,Mines and Minerals,50,2013,2012-2013
UAE,Mines and Minerals,500,2013,2012-2013
India,Mines and Minerals,15,2013,2012-2013
Singapore,Service,830,2013,2012-2013
S. Korea,Service,5,2013,2012-2013
Australia,Service,5,2013,2012-2013
Philippines,Service,6,2013,2012-2013
Afganistan,Service,2.5,2013,2012-2013
S. Korea,Service,5.7,2013,2012-2013
Australia,Service,2.5,2013,2012-2013
Japan,Service,11.4,2013,2012-2013
China,Service,12,2013,2012-2013
China,Service,12,2013,2012-2013
Australia,Service,4,2013,2012-2013
Mauritius,Service,50,2013,2012-2013
USA,Service,6,2013,2012-2013
China,Service,48,2013,2012-2013
Syria,Service,2.5,2013,2012-2013
France,Service,6,2013,2012-2013
China,Service,10,2013,2012-2013
S. Korea,Service,2.5,2013,2012-2013
India,Service,10,2013,2012-2013
India,Service,20,2013,2012-2013
Germany,Service,5,2013,2012-2013
Singapore,Service,10,2013,2012-2013
Philippines,Service,5,2013,2012-2013
China,Service,25,2013,2012-2013
USA,Service,20,2013,2012-2013
China,Service,30,2013,2012-2013
Afganistan,Service,2.5,2013,2012-2013
UK,Service,4.4,2013,2012-2013
China,Service,10,2013,2012-2013
India,Service,10,2013,2012-2013
UK,Service,15,2013,2012-2013
China,Service,25,2013,2012-2013
Turkey,Service,5,2013,2012-2013
Japan,Service,10,2013,2012-2013
UAE,Service,1700,2013,2012-2013
S. Korea,Service,10,2013,2012-2013
Netherlands,Service,629.4,2013,2012-2013
China,Service,25,2013,2012-2013
China,Service,25,2013,2012-2013
India,Service,150,2013,2012-2013
India,Service,20,2013,2012-2013
India,Service,10,2013,2012-2013
USA,Service,5,2013,2012-2013
China,Service,1950,2013,2012-2013
Japan,Service,10,2013,2012-2013
Canada,Service,5,2013,2012-2013
Yemen,Service,5,2013,2012-2013
China,Service,25,2013,2012-2013
India,Service,10,2013,2012-2013
Germany,Service,10,2013,2012-2013
Sweden,Service,5,2013,2012-2013
Singapore,Service,10,2013,2012-2013
India,Service,10,2013,2012-2013
Syria,Service,10,2013,2012-2013
USA,Service,10,2013,2012-2013
Japan,Service,25,2013,2012-2013
UK,Service,20,2013,2012-2013
India,Service,800,2013,2012-2013
India,Service,10,2013,2012-2013
S. Korea,Service,10,2013,2012-2013
Germany,Service,10,2013,2012-2013
BritishVirginIsland,Service,1950,2013,2012-2013
USA,Service,10,2013,2012-2013
China,Service,30,2013,2012-2013
India,Service,1500,2013,2012-2013
Japan,Service,30,2013,2012-2013
Netherlands,Service,16.3,2013,2012-2013
India,Service,20,2013,2012-2013
S. Korea,Service,5,2013,2012-2013
Iran,Service,20,2013,2012-2013
USA,Service,5,2013,2012-2013
UK,Service,9,2013,2012-2013
China,Service,30,2013,2012-2013
NewZealand,Service,15,2013,2012-2013
S. Korea,Service,45.5,2013,2012-2013
China,Service,20,2013,2012-2013
Germany,Service,20,2013,2012-2013
USA,Service,15,2013,2012-2013
Brazil,Service,10,2013,2012-2013
USA,Service,10,2013,2012-2013
Singapore,Service,250,2013,2012-2013
Australia,Service,5,2013,2012-2013
USA,Service,15,2013,2012-2013
China,Service,35,2013,2012-2013
China,Service,30,2013,2012-2013
Bangladesh,Service,30,2013,2012-2013
India,Service,6.5,2013,2012-2013
Qatar,Service,570,2013,2012-2013
India,Service,1000,2013,2012-2013
Netherlands,Tourism,10,2013,2012-2013
Spain,Tourism,4.5,2013,2012-2013
China,Tourism,15,2013,2012-2013
Spain,Tourism,8,2013,2012-2013
Australia,Tourism,2.5,2013,2012-2013
China,Tourism,2.5,2013,2012-2013
NewZealand,Tourism,6,2013,2012-2013
China,Tourism,2.5,2013,2012-2013
China,Tourism,15,2013,2012-2013
BritishVirginIsland,Tourism,2.4,2013,2012-2013
India,Tourism,5,2013,2012-2013
China,Tourism,2.5,2013,2012-2013
UAE,Tourism,4.8,2013,2012-2013
China,Tourism,15,2013,2012-2013
S. Korea,Tourism,2.5,2013,2012-2013
S. Korea,Tourism,5.6,2013,2012-2013
China,Tourism,12,2013,2012-2013
China,Tourism,12.5,2013,2012-2013
Uzbekistan,Tourism,5,2013,2012-2013
China,Tourism,5,2013,2012-2013
China,Tourism,10,2013,2012-2013
China,Tourism,6,2013,2012-2013
China,Tourism,25,2013,2012-2013
Switzerland,Tourism,5,2013,2012-2013
China,Tourism,25,2013,2012-2013
Switzerland,Tourism,271.3,2013,2012-2013
Bangladesh,Tourism,5,2013,2012-2013
Germany,Tourism,19,2013,2012-2013
Netherlands,Tourism,70,2013,2012-2013
China,Tourism,30,2013,2012-2013
Bhutan,Tourism,5,2013,2012-2013
China,Tourism,50,2013,2012-2013
USA,Tourism,20,2013,2012-2013
USA,Tourism,100,2013,2012-2013
France,Tourism,10,2013,2012-2013
Brazil,Tourism,15,2013,2012-2013
USA,Tourism,2.5,2013,2012-2013
USA,Tourism,15,2013,2012-2013
Russia,Tourism,40,2013,2012-2013
Colombia,Tourism,31.7,2013,2012-2013
China,Tourism,10,2013,2012-2013
China,Tourism,17,2013,2012-2013
China,Tourism,5,2013,2012-2013
Switzerland,Tourism,90,2013,2012-2013
S. Korea,Tourism,5,2013,2012-2013
India,Tourism,50,2013,2012-2013
Malaysia,Tourism,20,2013,2012-2013
China,Tourism,100,2013,2012-2013
UK,Tourism,10,2013,2012-2013
China,Tourism,100,2013,2012-2013
S. Korea,Tourism,10,2013,2012-2013
S. Korea,Tourism,20,2013,2012-2013
France,Tourism,6,2013,2012-2013
BritishVirginIsland,Tourism,1940,2013,2012-2013
China,Tourism,170,2013,2012-2013
Germany,Tourism,10,2013,2012-2013
China,Tourism,30,2013,2012-2013
Canada,Tourism,10,2013,2012-2013
USA,Tourism,10,2013,2012-2013
Russia,Tourism,10,2013,2012-2013
UK,Tourism,10,2013,2012-2013
S. Korea,Tourism,10,2013,2012-2013
Australia,Tourism,20,2013,2012-2013
Australia,Tourism,6,2013,2012-2013
China,Tourism,35,2013,2012-2013
China,Tourism,5,2013,2012-2013
UAE,Tourism,10,2013,2012-2013
USA,Tourism,5,2013,2012-2013
USA,Tourism,15,2013,2012-2013
China,Tourism,30,2013,2012-2013
USA,Tourism,7.5,2013,2012-2013
Italy,Tourism,15,2013,2012-2013
China,Tourism,35,2013,2012-2013
France,Tourism,6.2,2013,2012-2013
France,Tourism,5,2013,2012-2013
Cambodia,Tourism,5,2013,2012-2013
China,Tourism,20,2013,2012-2013
S. Korea,Tourism,5,2013,2012-2013
Netherlands,Tourism,5,2013,2012-2013
China,Tourism,35,2013,2012-2013
China,Tourism,15,2013,2012-2013
Belgium,Tourism,35,2013,2012-2013
India,Tourism,50,2013,2012-2013
Germany,Tourism,19.8,2013,2012-2013
S. Korea,Tourism,5,2013,2012-2013
China,Tourism,150,2013,2012-2013
Australia,Tourism,5,2013,2012-2013
Japan,Tourism,300,2013,2012-2013
USA,Tourism,11.3,2013,2012-2013
China,Agriculture and Forestry,35,2014,2013-2014
China,Agriculture and Forestry,35,2014,2013-2014
China,Agriculture and Forestry,30,2014,2013-2014
USA,Agriculture and Forestry,20,2014,2013-2014
S. Korea,Agriculture and Forestry,10,2014,2013-2014
China,Agriculture and Forestry,35,2014,2013-2014
Germany,Agriculture and Forestry,20,2014,2013-2014
S. Africa,Agriculture and Forestry,10,2014,2013-2014
China,Agriculture and Forestry,35,2014,2013-2014
USA,Agriculture and Forestry,10,2014,2013-2014
China,Agriculture and Forestry,35,2014,2013-2014
China,Agriculture and Forestry,25,2014,2013-2014
UK,Agriculture and Forestry,25,2014,2013-2014
USA,Agriculture and Forestry,20,2014,2013-2014
China,Agriculture and Forestry,15,2014,2013-2014
NewZealand,Agriculture and Forestry,5,2014,2013-2014
China,Agriculture and Forestry,35,2014,2013-2014
China,Agriculture and Forestry,35,2014,2013-2014
Australia,Agriculture and Forestry,4,2014,2013-2014
China,Agriculture and Forestry,20,2014,2013-2014
BritishVirginIsland,Agriculture and Forestry,5,2014,2013-2014
